,Name,Founded,Employees,CompanyID
0,12th Wonder,2012,50 - 200 employees,0
1,75way Technologies,2015,10 - 50 employees,1
2,A A Garg & Co,2020,10 - 50 employees,2
3,ACME Group,2012,50 - 200 employees,3
4,AGCO Corporation,1990,More than 1000 employees,4
5,ASAP Realtech,2022,10 - 50 employees,5
6,Accenture,1989,More than 1000 employees,6
7,Acko,2017,500 - 1000 employees,7
8,Acxiom Technologies,2014,50 - 200 employees,8
9,Aditi Tracking,2011,50 - 200 employees,9
10,Aditya Birla Capital,2007,More than 1000 employees,10
11,Adobe,1982,More than 1000 employees,11
12,Advancells,2005,10 - 50 employees,12
13,Aidas Technologies,2016,10 - 50 employees,13
14,Airblack,2019,50 - 200 employees,14
15,Alterest,2016,10 - 50 employees,15
16,Altruist Technologies,2005,More than 1000 employees,16
17,Amar Ujala Publications,1948,More than 1000 employees,17
18,Amazon,1994,More than 1000 employees,18
19,Antier Solutions,2003,500 - 1000 employees,19
20,Antsglobe Technologies,2012,10 - 50 employees,20
21,Apollo 24|7,2020,200 - 500 employees,21
22,Apollo Pharmacy,1987,More than 1000 employees,22
23,App Brew Tech,2022,0 - 10 employees,23
24,Applicate IT Solutions,2014,50 - 200 employees,24
25,Apptad,2013,500 - 1000 employees,25
26,Appzlogic Mobility Solutions,2015,50 - 200 employees,26
27,Arron Insurance Brokers,2016,50 - 200 employees,27
28,Assembly Travel,2018,10 - 50 employees,28
29,AsthaTrade,2002,200 - 500 employees,29
30,AstroTalk,2017,More than 1000 employees,30
31,Attentive.ai,2017,50 - 200 employees,31
32,Auzmor,2018,10 - 50 employees,32
33,Avataar,2014,200 - 500 employees,33
34,Awfis Space Solutions,2015,200 - 500 employees,34
35,Axponent,2020,10 - 50 employees,35
36,BMW Deutsche Motoren,2007,200 - 500 employees,36
37,Baygrape Technology Solutions,2016,10 - 50 employees,37
38,BelWo,2002,50 - 200 employees,38
39,Benchmark Email,2004,50 - 200 employees,39
40,BharatJal,2017,10 - 50 employees,40
41,Bhash Software Labs,2009,10 - 50 employees,41
42,Bhoomi Connect,2018,10 - 50 employees,42
43,Blaash,2021,0 - 10 employees,43
44,BlackLight Studio Works,2011,10 - 50 employees,44
45,Blue Ocean Academy,1988,10 - 50 employees,45
46,Blue Whistle Advertising,2018,50 - 200 employees,46
47,Blue Yonder,1985,More than 1000 employees,47
48,BlueStone.com,2011,200 - 500 employees,48
49,Bonatra,2022,10 - 50 employees,49
50,Bonds India,2020,50 - 200 employees,50
51,Booking Holdings,1996,More than 1000 employees,51
52,Brigade LED,2014,50 - 200 employees,52
53,Buna,2020,10 - 50 employees,53
54,BuyerAssist,2020,0 - 10 employees,54
55,CRMNEXT,2001,More than 1000 employees,55
56,Canvas Craft Media,2017,10 - 50 employees,56
57,CarDekho,2008,More than 1000 employees,57
58,CareerLabs,2019,50 - 200 employees,58
59,CareerNinja,2017,10 - 50 employees,59
60,Careium Pharmaceuticals,2021,0 - 10 employees,60
61,Casagrand Builder,2004,More than 1000 employees,61
62,Cashfree,2015,200 - 500 employees,62
63,Celigo,2005,500 - 1000 employees,63
64,Chatterbox Technologies,2016,50 - 200 employees,64
65,Choice,2010,500 - 1000 employees,65
